name,sector,trl2020,trl2021,trl2022,trl2023,trl2024,description,NZErationale,supplyChain,theme,keyCountries,read_more,trl_final,text
Rail-to-grid battery energy storage system,"Demand,Transport,Rail,Electric transport,Transport-Grid Interconnection System,Rail-to-grid battery energy storage system",,,,6,6.0,"Development of an innovative Railway to Grid (R+G) management system by project E-LOBSTER (Electric Losses Balancing through integrated Storage and power Electronics towards increased synergy between Railways and electricity distribution networks) funded by the EU. Aims to provide a platform for real-time energy flow management between rail, grid and energy storage system as well as electric vehicles (EVs) and charging stations. The R+G management system operates by taking into account the mutual benefit of transport and distribution networks to reduce distribution losses and energy recovery through train regenerative braking. In addition to R+G, two other technologies are supporting E_LOBSTER: Smart Soft Open Point (sSOP) and Battery Energy Storage System (BESS). sSOP are power electronics placed at open points on energy distribution networks to provide power control. Distribution losses and regenerative breaking energy will then be transferred to the local station's PV roof power generation system, and can from there be delivered to the grid, providing services such as local EV management or other ancillary services (e.g. voltage regulation, or storage capacity required, or power for train traction). ","The development of an interconnected system between different applications such as electric vehicles, rail and grid is important for reaching net zero. As such, the technological aspects being studied by E-Lobster, such as efficiency improvement, train regenerative braking, energy recovery and distribution to grid and auxiliaries are highly relevant. If these innovations are scaled up, the impacts for reaching net zero could be significant.","Transport infrastructure,Battery use",,,https://www.iea.org/reports/smart-grids,6.0,"Development of an innovative Railway to Grid (R+G) management system by project E-LOBSTER (Electric Losses Balancing through integrated Storage and power Electronics towards increased synergy between Railways and electricity distribution networks) funded by the EU. Aims to provide a platform for real-time energy flow management between rail, grid and energy storage system as well as electric vehicles (EVs) and charging stations. The R+G management system operates by taking into account the mutual benefit of transport and distribution networks to reduce distribution losses and energy recovery through train regenerative braking. In addition to R+G, two other technologies are supporting E_LOBSTER: Smart Soft Open Point (sSOP) and Battery Energy Storage System (BESS). sSOP are power electronics placed at open points on energy distribution networks to provide power control. Distribution losses and regenerative breaking energy will then be transferred to the local station's PV roof power generation system, and can from there be delivered to the grid, providing services such as local EV management or other ancillary services (e.g. voltage regulation, or storage capacity required, or power for train traction).  The development of an interconnected system between different applications such as electric vehicles, rail and grid is important for reaching net zero. As such, the technological aspects being studied by E-Lobster, such as efficiency improvement, train regenerative braking, energy recovery and distribution to grid and auxiliaries are highly relevant. If these innovations are scaled up, the impacts for reaching net zero could be significant."
Hyperloop,"Demand,Transport,Rail,Hyperloop",3-4,3-4,3-4,4,4.0,"The hyperloop concept was advanced in an open source paper by Elon Musk, Tesla co-founder. It has been described as a completely alternative transport mode to aircraft, ships, road or rail, and is based on three key components: carriages levitating magnetically or by air; linear motor propulsion, initially proposed as compressed air propulsion; and a vacuum-based enclosure to dramatically reduce air friction. A number of companies since then have developed alternative technology designs based on the fundamental principles of the hyperloop, for instance using electromagnetic propulsion. Hyperloop variants remain to be tested at any significant scale.","As an alternative to high-speed rail and short-haul aviation it holds promise, but the fundamental hurdles of the technology and the early TRL mean this technology is of a low priority relative to other abatement options in the NZE.",Transport infrastructure,,"Europe,US",https://www.iea.org/reports/rail,4.0,"The hyperloop concept was advanced in an open source paper by Elon Musk, Tesla co-founder. It has been described as a completely alternative transport mode to aircraft, ships, road or rail, and is based on three key components: carriages levitating magnetically or by air; linear motor propulsion, initially proposed as compressed air propulsion; and a vacuum-based enclosure to dramatically reduce air friction. A number of companies since then have developed alternative technology designs based on the fundamental principles of the hyperloop, for instance using electromagnetic propulsion. Hyperloop variants remain to be tested at any significant scale. As an alternative to high-speed rail and short-haul aviation it holds promise, but the fundamental hurdles of the technology and the early TRL mean this technology is of a low priority relative to other abatement options in the NZE."
Magnetic levitation,"Demand,Transport,Rail,Magnetic levitation",9,9,9,9,9.0,"Magnetic levitation trains or maglevs are floating vehicles that are supported either by electromagnetic attraction or repulsion. They were initially conceptualised in the early 1900s, and have been in commercial use in some form since 1984. Maglev trains remove friction between the wheels and the rails, allowing for much higher speeds, reducing operating costs from fewer moving parts and rolling friction. In turn this means the main driver impeding forward movement becomes air resistance, driving technology development. They can also improve safety and prevent derailment. Further, they allow for wider trains to be built, increasing convenience; and they reduce the need for civil engineering projects as they can operate on higher inclines (of up to 10%) than traditional trains. 
Two key technology areas are currently deployed: (i) electromagnetic suspension (EMS), which harnesses the attractive forces between magnets on the train's side and underside and on the guideway; and (ii) electromagnetic suspension systems, where magnets, generally placed in the undercarriage of the train, repel the train from the guideway, which allows for higher levitation. These are generally based on superconducting and supercooled technology systems. The need to build dedicated infrastructure from scratch, bypassing conventional infrastructure, and high capital expenditures remain obstacles to further deployment.","While it will continue to have niche applications, there are a number of competitive alternatives for large-scale implementation.",Transport infrastructure,,,https://www.iea.org/reports/rail,9.0,"Magnetic levitation trains or maglevs are floating vehicles that are supported either by electromagnetic attraction or repulsion. They were initially conceptualised in the early 1900s, and have been in commercial use in some form since 1984. Maglev trains remove friction between the wheels and the rails, allowing for much higher speeds, reducing operating costs from fewer moving parts and rolling friction. In turn this means the main driver impeding forward movement becomes air resistance, driving technology development. They can also improve safety and prevent derailment. Further, they allow for wider trains to be built, increasing convenience; and they reduce the need for civil engineering projects as they can operate on higher inclines (of up to 10%) than traditional trains. 
Two key technology areas are currently deployed: (i) electromagnetic suspension (EMS), which harnesses the attractive forces between magnets on the train's side and underside and on the guideway; and (ii) electromagnetic suspension systems, where magnets, generally placed in the undercarriage of the train, repel the train from the guideway, which allows for higher levitation. These are generally based on superconducting and supercooled technology systems. The need to build dedicated infrastructure from scratch, bypassing conventional infrastructure, and high capital expenditures remain obstacles to further deployment. While it will continue to have niche applications, there are a number of competitive alternatives for large-scale implementation."
Battery electric train,"Demand,Transport,Rail,Vehicle and components,Battery electric train",7,7,7,8,9.0,"On non-electrified tracks, ''pure'' battery electric trains (no ICE on-board) will be a solution for zero pollutant emission and low CO2 operations (with CO2 emissions depending on the carbon intensity of electricity generation). 
Due to their limited range, this technology will likely be dedicated to suburban and intercity (i.e. short route) applications.",Offers a solution for short-route lines on non-electrified tracks that are not equipped with low-CO2-fuel infrastructure.,Vehicle,"Electrification,Electrochemistry",Germany,https://www.iea.org/reports/rail,9.0,"On non-electrified tracks, ''pure'' battery electric trains (no ICE on-board) will be a solution for zero pollutant emission and low CO2 operations (with CO2 emissions depending on the carbon intensity of electricity generation). 
Due to their limited range, this technology will likely be dedicated to suburban and intercity (i.e. short route) applications. Offers a solution for short-route lines on non-electrified tracks that are not equipped with low-CO2-fuel infrastructure."
Gas hybrid train (internal combustion engine and battery),"Demand,Transport,Rail,Vehicle and components,Gas hybrid train (internal combustion engine and battery)",7,7,7,8,8.0,"When catenary lines are available, energy is drawn from them and then stored in high capacity batteries. In other cases, the power can be provided either by the batteries or by gas engine(s). Batteries also store recovered energy when the train is braking, thus reducing overall energy consumption. For this technology to deliver net emissions reductions, the gas needs to be produced from renewable sources. ","This technology would be a solution for rail transport in the case of cost-effective, abundant production of synthetic methane (from electrolysis from low-carbon electricity with a carbon-source) in the future.
This technology has a market limited to trains running on partially electrified or non-electrified tracks, with a decreasing share over time. Today non-electrified rail lines make up, for example, almost all interregional lines in North and South America, 67% of conventional rail lines in Africa, 15% of conventional rail lines in India, and 38% of Europe's conventional rail lines.",Vehicle,"Bioenergy,Electrification,Renewables","Europe,US",https://www.iea.org/reports/rail,8.0,"When catenary lines are available, energy is drawn from them and then stored in high capacity batteries. In other cases, the power can be provided either by the batteries or by gas engine(s). Batteries also store recovered energy when the train is braking, thus reducing overall energy consumption. For this technology to deliver net emissions reductions, the gas needs to be produced from renewable sources.  This technology would be a solution for rail transport in the case of cost-effective, abundant production of synthetic methane (from electrolysis from low-carbon electricity with a carbon-source) in the future.
This technology has a market limited to trains running on partially electrified or non-electrified tracks, with a decreasing share over time. Today non-electrified rail lines make up, for example, almost all interregional lines in North and South America, 67% of conventional rail lines in Africa, 15% of conventional rail lines in India, and 38% of Europe's conventional rail lines."
Hydrogen fuel cell electric vehicle,"Demand,Transport,Rail,Vehicle and components,Hydrogen fuel cell electric vehicle",8,8,8,8,8.0,"A hydrogen fuel cell system generates electric power to run an electric motor, providing tractive energy. This technology represents an alternative to diesel for trains running on non-electrified tracks.","This technology would be a solution for rail transport in the case of cost-effective, abundant production of low-carbon hydrogen (from electrolysis from low-carbon electricity) in the future.
This technology has a market limited to trains running on partially or not-electrified tracks, with a decreasing share over time. Today non-electrified rail lines make up, for example, almost all interregional lines in North and South America, 67% of conventional rail lines in Africa, 15% of conventional rail lines in India, and 38% of Europe's conventional rail lines.","Vehicle,H2 use",Hydrogen,"Germany,Japan,Korea,Italy,France,Spain,China,Canada,United States",https://www.iea.org/fuels-and-technologies/hydrogen,8.0,"A hydrogen fuel cell system generates electric power to run an electric motor, providing tractive energy. This technology represents an alternative to diesel for trains running on non-electrified tracks. This technology would be a solution for rail transport in the case of cost-effective, abundant production of low-carbon hydrogen (from electrolysis from low-carbon electricity) in the future.
This technology has a market limited to trains running on partially or not-electrified tracks, with a decreasing share over time. Today non-electrified rail lines make up, for example, almost all interregional lines in North and South America, 67% of conventional rail lines in Africa, 15% of conventional rail lines in India, and 38% of Europe's conventional rail lines."
2-3W (charging),"Demand,Transport,Road transport,Charging and refuelling,Charging,Battery swapping,2-3W (charging)",,,,8-9,9.0,"The battery swapping concept was introduced as an alternative to electric vehicle (EV) charging stations with the idea to save refuelling time for EVs. A battery swapping station allows the user of an EV to exchange the vehicle's battery for a fully charged one. This technology is being studied for application to cars and vans, 2/3-wheelers and heavy-duty vehicles.","Battery swapping for e-bikes is very attractive for many reasons, primarily refuelling time, which is estimated to be less than 3 to 4 minutes and provide a driving range of 100 km. Furthermore, battery swapping can help to  alleviate that the issue of strains on distribution and transmission grids, which is relevant in countries with large numbers of e-bikes, such as India. ","Transport infrastructure,Battery charging",,,https://www.iea.org/reports/electric-vehicles,9.0,"The battery swapping concept was introduced as an alternative to electric vehicle (EV) charging stations with the idea to save refuelling time for EVs. A battery swapping station allows the user of an EV to exchange the vehicle's battery for a fully charged one. This technology is being studied for application to cars and vans, 2/3-wheelers and heavy-duty vehicles. Battery swapping for e-bikes is very attractive for many reasons, primarily refuelling time, which is estimated to be less than 3 to 4 minutes and provide a driving range of 100 km. Furthermore, battery swapping can help to  alleviate that the issue of strains on distribution and transmission grids, which is relevant in countries with large numbers of e-bikes, such as India. "
Vehicles (exc. 2-3W) (charging),"Demand,Transport,Road transport,Charging and refuelling,Charging,Battery swapping,Vehicles (exc. 2-3W) (charging)",,,,7-8,8.0,"The battery swapping concept was introduced as an alternative to electric vehicle (EV) charging stations with the idea to save refuelling time for EVs. A battery swapping station allows the user of an EV to exchange the vehicle's battery for a fully charged one. This technology is being studied for application to cars and vans, 2/3-wheelers and heavy-duty vehicles.","With the electric vehicle (EV) charging time being a constraint for some consumers, an efficient battery swapping technology that could be implemented in a timeframe comparable to that of refuelling internal combustion engines could be attractive. Furthermore, battery swapping stations could act as energy storage and help unload the grid during peak consumption hours. Today, the market is more inclined to prioritise fast and ultra fast chargers due to the cost of swapping stations and their complexity. Furthermore, the technology is not ready to be commercialised at a large scale as stations are not compatible with all EV models. ","Transport infrastructure,Battery charging",,,https://www.iea.org/reports/electric-vehicles,8.0,"The battery swapping concept was introduced as an alternative to electric vehicle (EV) charging stations with the idea to save refuelling time for EVs. A battery swapping station allows the user of an EV to exchange the vehicle's battery for a fully charged one. This technology is being studied for application to cars and vans, 2/3-wheelers and heavy-duty vehicles. With the electric vehicle (EV) charging time being a constraint for some consumers, an efficient battery swapping technology that could be implemented in a timeframe comparable to that of refuelling internal combustion engines could be attractive. Furthermore, battery swapping stations could act as energy storage and help unload the grid during peak consumption hours. Today, the market is more inclined to prioritise fast and ultra fast chargers due to the cost of swapping stations and their complexity. Furthermore, the technology is not ready to be commercialised at a large scale as stations are not compatible with all EV models. "
Conductive (charging),"Demand,Transport,Road transport,Charging and refuelling,Charging,Dynamic charging or electric road system,Conductive (charging)",8,8,8,8,8.0,"Dynamic charging, or Electric Road Systems (ERS), relies on vehicles that can receive electricity from power transfer installations along the road upon which the vehicles are driving. Multiple options for power transfer are being explored. These can be most generally classified into conductive and inductive transfer. 
Conductive power transfer concepts can use catenary systems coupled with a pantograph arm (as is being trialled by Siemens and truck original equipment manufacturer partners), or via in-road or road-side rail systems with a connector arm. Such systems can enable high power transfer efficiency. 
At the end of the electrified segment of road the vehicle can continue to draw from its batteries, switching to its engine when operations warrant doing so or when the batteries are fully depleted. This allows electric vehicles to become more flexible, reduces the need for on-board energy capacity in the vehicles themselves, and can accelerate the operations for which electrification is technically viable and economically competitive (i.e. of long-distance freight and other heavy duty modes). The vehicles using ERS can be hybrid, battery-electric, or hydrogen fuel cell vehicles and can conduct normal driving operations, such as overtaking and driving autonomously outside of electric roads. With a small but growing number of demonstrations in Sweden and Germany, truck operators like Scania are working with Siemens to gain real-world experience operating catenary ERS systems. Installation costs are around USD 1 million or more per lane-km when dimensioned for traffic flows on the core part of the road network (starting at around 2 000 trucks/day), and may fall somewhat from that level in the long term, approaching the magnitudes of rail electrification infrastructure upgrades.","Dynamic charging can complement or serve as a substitute to traditional electric vehicle charging (e.g. by enabling road vehicles to run on electric with smaller batteries). Electric Road Systems could accelerate adoption, particularly for heavy-duty and intensive usage and/or long-distance operations like intercity buses (coaches), and regional and long-haul trucking. For other vehicle types and operations, it is of less critical importance than some of the other charging strategies.","Transport infrastructure,Battery charging",Electrification,"Germany,Sweden,United States",https://www.iea.org/reports/trucks-and-buses,8.0,"Dynamic charging, or Electric Road Systems (ERS), relies on vehicles that can receive electricity from power transfer installations along the road upon which the vehicles are driving. Multiple options for power transfer are being explored. These can be most generally classified into conductive and inductive transfer. 
Conductive power transfer concepts can use catenary systems coupled with a pantograph arm (as is being trialled by Siemens and truck original equipment manufacturer partners), or via in-road or road-side rail systems with a connector arm. Such systems can enable high power transfer efficiency. 
At the end of the electrified segment of road the vehicle can continue to draw from its batteries, switching to its engine when operations warrant doing so or when the batteries are fully depleted. This allows electric vehicles to become more flexible, reduces the need for on-board energy capacity in the vehicles themselves, and can accelerate the operations for which electrification is technically viable and economically competitive (i.e. of long-distance freight and other heavy duty modes). The vehicles using ERS can be hybrid, battery-electric, or hydrogen fuel cell vehicles and can conduct normal driving operations, such as overtaking and driving autonomously outside of electric roads. With a small but growing number of demonstrations in Sweden and Germany, truck operators like Scania are working with Siemens to gain real-world experience operating catenary ERS systems. Installation costs are around USD 1 million or more per lane-km when dimensioned for traffic flows on the core part of the road network (starting at around 2 000 trucks/day), and may fall somewhat from that level in the long term, approaching the magnitudes of rail electrification infrastructure upgrades. Dynamic charging can complement or serve as a substitute to traditional electric vehicle charging (e.g. by enabling road vehicles to run on electric with smaller batteries). Electric Road Systems could accelerate adoption, particularly for heavy-duty and intensive usage and/or long-distance operations like intercity buses (coaches), and regional and long-haul trucking. For other vehicle types and operations, it is of less critical importance than some of the other charging strategies."
Inductive (charging),"Demand,Transport,Road transport,Charging and refuelling,Charging,Dynamic charging or electric road system,Inductive (charging)",4,4,4,5,5.0,"Inductive power transfer was developed early in the 20th century, but the high capacity, safety and reliability required by electric vehicles (EVs) is still in early stages of development. Static wireless EV charging (i.e. parking spots, and not an Electric Road Systems (ERS) technology concept) provides a relatively user-friendly and safe avenue to charge electric cars, increasing convenience of use and facilitating adoption. Dynamic inductive power transmission could also be implemented if many inductive units (coils) are installed under the road surface of traffic lanes.
Inductive charging has a number of advantages over conductive charging, but also several disadvantages, including lower efficiency, higher material requirements per lane‐km, more invasive changes to the existing infrastructure, and more complex components. Dynamic wireless electric charging holds huge potential as it can address classical EV range concerns through 'in-motion' wireless charging, which allows an EV to charge wirelessly as it travels down the road. This also allows for smaller and lighter batteries to be used in EVs, benefitting from charging infrastructure embedded within road infrastructure.                                                                                                                                                         
At the end of the electrified segment of road the vehicle can continue to draw from its batteries, switching to its engine when operations warrant doing so or when the batteries are fully depleted. This allows EVs to become more flexible, reduces the need for on-board energy capacity in the vehicles themselves, and can accelerate the operations for which electrification is technically viable and economically competitive (i.e. of long-distance freight and other heavy duty modes). The vehicles using ERS can be hybrid, battery-electric, or hydrogen fuel cell vehicles and can conduct normal driving operations, such as overtaking and driving autonomously outside of electric roads. With a small but growing number of demonstrations in Sweden and Germany, truck operators like Scania are working with Siemens to gain real-world experience operating catenary ERS systems. Installation costs are around USD 1 million or more per lane-km when dimensioned for traffic flows on the core part of the road network (starting at around 2 000 trucks/day), and may fall somewhat from that level in the long term, approaching the magnitudes of rail electrification infrastructure upgrades.","Dynamic charging can complement or serve as a substitute to traditional electric vehicle charging (e.g. by enabling road vehicles to run on electric with smaller batteries). Electric Road Systems could accelerate adoption, particularly for heavy-duty and intensive usage and/or long-distance operations like intercity buses (coaches), and regional and long-haul trucking. For other vehicle types and operations, it is of less critical importance than some of the other charging strategies.","Transport infrastructure,Battery charging",Electrification,"Germany,Sweden,United States",https://www.iea.org/reports/electric-vehicles,5.0,"Inductive power transfer was developed early in the 20th century, but the high capacity, safety and reliability required by electric vehicles (EVs) is still in early stages of development. Static wireless EV charging (i.e. parking spots, and not an Electric Road Systems (ERS) technology concept) provides a relatively user-friendly and safe avenue to charge electric cars, increasing convenience of use and facilitating adoption. Dynamic inductive power transmission could also be implemented if many inductive units (coils) are installed under the road surface of traffic lanes.
Inductive charging has a number of advantages over conductive charging, but also several disadvantages, including lower efficiency, higher material requirements per lane‐km, more invasive changes to the existing infrastructure, and more complex components. Dynamic wireless electric charging holds huge potential as it can address classical EV range concerns through 'in-motion' wireless charging, which allows an EV to charge wirelessly as it travels down the road. This also allows for smaller and lighter batteries to be used in EVs, benefitting from charging infrastructure embedded within road infrastructure.                                                                                                                                                         
At the end of the electrified segment of road the vehicle can continue to draw from its batteries, switching to its engine when operations warrant doing so or when the batteries are fully depleted. This allows EVs to become more flexible, reduces the need for on-board energy capacity in the vehicles themselves, and can accelerate the operations for which electrification is technically viable and economically competitive (i.e. of long-distance freight and other heavy duty modes). The vehicles using ERS can be hybrid, battery-electric, or hydrogen fuel cell vehicles and can conduct normal driving operations, such as overtaking and driving autonomously outside of electric roads. With a small but growing number of demonstrations in Sweden and Germany, truck operators like Scania are working with Siemens to gain real-world experience operating catenary ERS systems. Installation costs are around USD 1 million or more per lane-km when dimensioned for traffic flows on the core part of the road network (starting at around 2 000 trucks/day), and may fall somewhat from that level in the long term, approaching the magnitudes of rail electrification infrastructure upgrades. Dynamic charging can complement or serve as a substitute to traditional electric vehicle charging (e.g. by enabling road vehicles to run on electric with smaller batteries). Electric Road Systems could accelerate adoption, particularly for heavy-duty and intensive usage and/or long-distance operations like intercity buses (coaches), and regional and long-haul trucking. For other vehicle types and operations, it is of less critical importance than some of the other charging strategies."
Fast and ultra-fast charging,"Demand,Transport,Road transport,Charging and refuelling,Charging,Fast and ultra-fast charging",8,8,8,8,8.0,"Most commercially available direct current (DC) fast charging stations currently enable power levels ranging from 250-350 kW. Fast charging technology of 350 kW up to 1 MW is a key driver for faster electric vehicle (EV) deployment, to increase the convenience of inter-city travel and reduce range anxiety. In particular, fast charging hubs are required for electric road freight and larger EV passenger models. A number of innovations are needed to go beyond high capacity thresholds, including battery and ultracapacitor combinations and integration of high capacity charging equipment within passenger EV and truck frames. Charging stations must provide high power output with minimal impact on the grid, which also will require further integration efforts including application of battery storage, capacitors or smart management systems. Finally, battery chemistries and designs will need to be developed that can be rapidly charged by ultrafast charging systems without risking accelerated degradation (e.g. via dendrite formation). Innovations are also needed on materials that also achieve ultrahigh discharge rates, comparable to those of supercapacitors.","Long-distance road travel is a particular hurdle for light- and heavy-duty electric vehicle adoption, despite the fact that inter-city passenger transport demand from light duty vehicles comprises a small share of total passenger travel. Deploying ultra-fast charging technology that can make trips over long distances possible with refuelling times comparable to those of internal combustion engines could greatly accelerate adoption and reduce emissions from intercity travel.","Transport infrastructure,Battery charging",Electrification,,https://www.iea.org/reports/electric-vehicles,8.0,"Most commercially available direct current (DC) fast charging stations currently enable power levels ranging from 250-350 kW. Fast charging technology of 350 kW up to 1 MW is a key driver for faster electric vehicle (EV) deployment, to increase the convenience of inter-city travel and reduce range anxiety. In particular, fast charging hubs are required for electric road freight and larger EV passenger models. A number of innovations are needed to go beyond high capacity thresholds, including battery and ultracapacitor combinations and integration of high capacity charging equipment within passenger EV and truck frames. Charging stations must provide high power output with minimal impact on the grid, which also will require further integration efforts including application of battery storage, capacitors or smart management systems. Finally, battery chemistries and designs will need to be developed that can be rapidly charged by ultrafast charging systems without risking accelerated degradation (e.g. via dendrite formation). Innovations are also needed on materials that also achieve ultrahigh discharge rates, comparable to those of supercapacitors. Long-distance road travel is a particular hurdle for light- and heavy-duty electric vehicle adoption, despite the fact that inter-city passenger transport demand from light duty vehicles comprises a small share of total passenger travel. Deploying ultra-fast charging technology that can make trips over long distances possible with refuelling times comparable to those of internal combustion engines could greatly accelerate adoption and reduce emissions from intercity travel."
Smart charging,"Demand,Transport,Road transport,Charging and refuelling,Charging,Smart charging",5,5,5,6,7.0,"Smart charging refers to the co-ordinated and managed charging of the batteries in electric vehicles in a way that benefits the system, avoiding peak demand or congestion on the grid. While it does not require a very different infrastructure, innovation is needed to integrate IT and OT (Operational Technologies), including remote sensing, big data analytics, remote sensing and control. The simplest strategy for deployment, from a technology perspective, would be to develop back-end systems that would function without much involvement from consumers, and incorporate information on grid needs and services that can be provided by EV batteries, and allow for these services to be delivered to the grid by default contracts, rather than relying on opt-in from customers.","With instantaneous loads above the rated capacity of the average household, integrating large numbers of electric vehicles (EVs) will eventually impose burdens on local distribution grids as well as upstream transmission and generation. Today, hotspots are already seen in specific areas with high penetration of high-capacity EVs.","Transport infrastructure,Battery charging","Digitalisation,Electrification",,https://www.iea.org/reports/smart-grids,7.0,"Smart charging refers to the co-ordinated and managed charging of the batteries in electric vehicles in a way that benefits the system, avoiding peak demand or congestion on the grid. While it does not require a very different infrastructure, innovation is needed to integrate IT and OT (Operational Technologies), including remote sensing, big data analytics, remote sensing and control. The simplest strategy for deployment, from a technology perspective, would be to develop back-end systems that would function without much involvement from consumers, and incorporate information on grid needs and services that can be provided by EV batteries, and allow for these services to be delivered to the grid by default contracts, rather than relying on opt-in from customers. With instantaneous loads above the rated capacity of the average household, integrating large numbers of electric vehicles (EVs) will eventually impose burdens on local distribution grids as well as upstream transmission and generation. Today, hotspots are already seen in specific areas with high penetration of high-capacity EVs."
Ultra-fast charging  (>1 MW),"Demand,Transport,Road transport,Charging and refuelling,Charging,Ultra-fast charging  (>1 MW)",,,,6-7,7.0,"Multiple charging standards are currently being developed for charging medium- and heavy-duty vehicles at power rates of greater than 1 MW. Technical specifications for ultra-fast charging are under development. In China, co-developers China Electricity Council and CHAdeMO’s “ultra ChaoJi” are developing a charging standard for heavy-duty electric vehicles for up to several megawatts. In Europe and the United States, specifications for the CharIN Megawatt Charging System (MCS), with a potential maximum power of 4.5 MW, are under development by the International Organization for Standardization (ISO) and other organisations. The final MCS specifications, which will be needed for commercial roll-out of medium- and heavy-duty electric vehicles, are expected for 2024. Ensuring maximum possible convergence of charging standards and interoperability for heavy-duty EVs will be needed to avoid the cost, inefficiency, and challenges for vehicle importers and international operators that would be created by manufacturers following divergent paths.",,"Transport infrastructure,Battery charging",Electrification,,https://www.iea.org/reports/electric-vehicles,7.0,"Multiple charging standards are currently being developed for charging medium- and heavy-duty vehicles at power rates of greater than 1 MW. Technical specifications for ultra-fast charging are under development. In China, co-developers China Electricity Council and CHAdeMO’s “ultra ChaoJi” are developing a charging standard for heavy-duty electric vehicles for up to several megawatts. In Europe and the United States, specifications for the CharIN Megawatt Charging System (MCS), with a potential maximum power of 4.5 MW, are under development by the International Organization for Standardization (ISO) and other organisations. The final MCS specifications, which will be needed for commercial roll-out of medium- and heavy-duty electric vehicles, are expected for 2024. Ensuring maximum possible convergence of charging standards and interoperability for heavy-duty EVs will be needed to avoid the cost, inefficiency, and challenges for vehicle importers and international operators that would be created by manufacturers following divergent paths. "
High flow rate (>120 g/s),"Demand,Transport,Road transport,Charging and refuelling,Hydrogen refuelling station,High flow rate (>120 g/s)",3,3,4,4,4.0,"To fuel heavy hydrogen trucks in times similar to diesel truck refueling, the flow rate of hydrogen from the dispenser and into the vehicle needs to be faster than it is currently at stations designed for cars and buses. This requires new components to be desgined and new fueling protocols to be developed. ","In long-haul heavy-duty trucking, fuel cell trucks may become cost competitive with battery electric trucks and offer advantages in terms of fuelling times if high flow rate refueling stations are developed and deployed. ","Transport infrastructure,H2 use",Hydrogen,"United States,France",https://www.iea.org/fuels-and-technologies/hydrogen,4.0,"To fuel heavy hydrogen trucks in times similar to diesel truck refueling, the flow rate of hydrogen from the dispenser and into the vehicle needs to be faster than it is currently at stations designed for cars and buses. This requires new components to be desgined and new fueling protocols to be developed.  In long-haul heavy-duty trucking, fuel cell trucks may become cost competitive with battery electric trucks and offer advantages in terms of fuelling times if high flow rate refueling stations are developed and deployed. "
Liquid hydrogen,"Demand,Transport,Road transport,Charging and refuelling,Hydrogen refuelling station,Liquid hydrogen",5,5,6,6,7.0,"Liquid hydrogen provides greater energy density than compressed hydrogen, allowing for greater range of vehicles. It also increases the amount of energy that can be transported when considering centralised production and subsequent distribution of the liquid hydrogen. ","Hydrogen for road transport is important in some niche applications, but alternatives exist for the vast majority of modes and use cases.","Transport infrastructure,H2 use",Hydrogen,"Germany,France",https://www.iea.org/fuels-and-technologies/hydrogen,7.0,"Liquid hydrogen provides greater energy density than compressed hydrogen, allowing for greater range of vehicles. It also increases the amount of energy that can be transported when considering centralised production and subsequent distribution of the liquid hydrogen.  Hydrogen for road transport is important in some niche applications, but alternatives exist for the vast majority of modes and use cases."
